ID_CULTIVO,N_EVENTOS_DESPESCA,KG_DESPESCADO,KG_VENDIDO,KG_DOADO,ANIMAIS_DESPESCADOS,PESO_MEDIO_DESPESCA,N_DESBASTES,VIVEIRO,QUANTIDADE_PL,TAMANHO_AREA,SOBREVIVENCIA,PRODUTIVIDADE_KG_HA,SOBREVIVENCIA_VALIDA
V6_C5,4,1651.0,1651.0,0.0,96593.35465865178,23.29,2,6,540000.0,1.04,0.178876582701207,1587.5,True
V6_C6,2,1058.0,1058.0,0.0,87652.65345765346,12.87,1,6,115000.0,1.04,0.7621969865882909,1017.3076923076923,True
V6_C7,1,881.0,881.0,0.0,90824.74226804124,9.7,0,6,115000.0,1.04,0.7897803675481847,847.1153846153846,True
V7_C1,3,1276.0,1276.0,0.0,71419.0,20.0,2,7,190000.0,1.26,0.37588947368421055,1012.6984126984127,True
V7_C2,3,1794.0,1794.0,0.0,72725.59192825112,31.22,2,7,190000.0,1.26,0.3827662733065848,1423.8095238095239,True
V7_C3,2,1308.007,1252.0,56.007,64008.28586224755,19.31,0,7,210000.0,1.26,0.30480136124879786,1038.1007936507938,True
V7_C4,2,1626.0,1621.0,5.0,92010.0,12.79,1,7,204000.0,1.26,0.4510294117647059,1290.4761904761904,True
V7_C5,4,1300.0,1300.0,0.0,63882.06388206388,20.35,0,7,190000.0,1.26,0.33622138885296776,1031.7460317460318,True
V7_C6,1,924.0,924.0,0.0,76553.43827671914,12.07,0,7,190000.0,1.26,0.4029128330353639,733.3333333333334,True
V7_C7,3,990.0,979.0,11.0,96198.0001980002,9.62,0,7,180000.0,1.26,0.5344333344333344,785.7142857142857,True
V7_C8,4,1586.1,1577.1,9.0,98186.38106235565,17.32,3,7,145000.0,1.26,0.6771474556024527,1258.8095238095236,True
V7_C9,1,1315.0,1315.0,0.0,87259.45587259455,15.07,0,7,400000.0,1.26,0.21814863968148637,1043.6507936507937,True
V8_C1,2,1500.0,1500.0,0.0,90634.44108761329,16.55,0,8,195000.0,1.55,0.46479200557750405,967.741935483871,True
V8_C2,6,2436.0,2431.0,5.0,87784.7243512794,19.28,1,8,195000.0,1.55,0.4501780735963046,1571.6129032258063,True
V8_C3,3,1638.0,1634.0,4.0,86592.0,24.0,1,8,255000.0,1.55,0.3395764705882353,1056.774193548387,True
V8_C4,3,1801.0,1801.0,0.0,90594.58129175947,22.45,2,8,175000.0,1.55,0.517683321667197,1161.9354838709678,True
V8_C5,4,1130.0,1120.0,10.0,87648.00669344043,10.45,3,8,200000.0,1.55,0.43824003346720214,729.0322580645161,True
V8_C6,3,514.0,257.0,257.0,13371.418459403192,29.0,0,8,199000.0,1.55,0.06719305758494067,331.61290322580646,True
V8_C7,3,1002.5,1002.5,0.0,64594.072164948455,15.52,0,8,135000.0,1.55,0.4784746086292478,646.7741935483871,True
V8_C8,5,1490.0,1490.0,0.0,73999.78775684093,20.91,0,8,100000.0,1.55,0.7399978775684093,961.2903225806451,True
V9_C1,2,102.0,102.0,0.0,8860.378553892453,8.05,0,9,88000.0,0.77,0.10068611993059606,132.46753246753246,True
V9_C2,2,1446.0,1446.0,0.0,78157.46043165468,20.85,1,9,175000.0,0.77,0.44661405960945527,1877.922077922078,True
V9_C3,3,1205.0,1205.0,0.0,71444.71228887595,17.17,1,9,200000.0,0.77,0.3572235614443797,1564.935064935065,True
V9_C6,1,490.0,490.0,0.0,140000.0,3.5,0,9,180000.0,0.77,0.7777777777777778,636.3636363636364,True
V9_C7,1,1079.5,1079.5,0.0,102516.61918328586,10.53,0,9,261000.0,0.77,0.39278398154515654,1401.948051948052,True
V9_C8,1,459.0,459.0,0.0,37046.00484261501,12.39,0,9,185000.0,0.77,0.200248674824946,596.1038961038961,True
