DATA,KG_VENDA,KG_DOACAO,NF,PESO_MEDIO,QTD_ANIMAIS_TEXTO,DESBASTE,KG,ID_CULTIVO,VIVEIRO,QTD_ANIMAIS_CALC,QTD_ANIMAIS
15/07/2024,413.0,0.0,,22.51,,False,413.0,V14_C4,14,18347.401155042204,18347.401155042204
15/07/2024,97.0,0.0,1.615,22.51,,False,97.0,V14_C4,14,4309.195912927587,4309.195912927587
15/08/2024,298.0,0.0,,10.61,28086.0,True,298.0,V14_C5,14,28086.71065032988,28086.0
28/08/2024,1297.0,0.0,1.638,14.6,,False,1297.0,V14_C5,14,88835.61643835617,88835.61643835617
29/08/2024,17.0,0.0,1.640,14.6,,False,17.0,V14_C5,14,1164.3835616438357,1164.3835616438357
26/11/2024,271.0,0.0,1.700,10.15,26699.0,True,271.0,V14_C6,14,26699.50738916256,26699.0
16/12/2024,560.0,0.0,,14.73,,False,560.0,V14_C6,14,38017.65105227427,38017.65105227427
17/12/2024,600.0,0.0,1.708,14.73,,False,600.0,V14_C6,14,40733.19755600815,40733.19755600815
17/12/2024,337.0,0.0,1.709,14.73,,False,337.0,V14_C6,14,22878.47929395791,22878.47929395791
05/07/2023,26.0,0.0,1.432,17.62,,False,26.0,V13_C2,13,1475.5959137343928,1475.5959137343928
26/09/2023,366.0,0.0,1.477,13.41,27293.0,True,366.0,V13_C3,13,27293.064876957495,27293.0
13/10/2023,1812.5,0.0,1.486,16.52,,False,1812.5,V13_C3,13,109715.49636803874,109715.49636803874
13/10/2023,152.0,0.0,1.488,16.52,,False,152.0,V13_C3,13,9200.968523002422,9200.968523002422
20/03/2024,2588.0,0.0,1.549,15.49,,False,2588.0,V13_C4,13,167075.5326016785,167075.5326016785
20/05/2024,540.0,0.0,1.586,11.26,47957.0,True,540.0,V13_C5,13,47957.37122557726,47957.0
